Series name,Category,Short description,Description,Featured image,Feature set header 1,Feature set description 1,Feature set image 1,Feature set header 2,Feature set description 2,Feature set image 2,Feature set header 3,Feature set description 3,Feature set image 3,Feature set header 4,Feature set description 4,Feature set image 4,Video 1 name,Video 1,Video 2 name,Video 2,Video 3 name,Video 3,Video 4 name,Video 4,Internal document 1 description,Internal document 1
Hornet,Parallel Robots,,"Ethernet capability to control the robot through the familiar programming language (IEC 61131-3) of NX/NJ machine controller
The amplifier and controller built into the robot reduces the number of cables
Tracks up to a conveyor speed of 1.4 m/s
Designed with a high payload to support multi-hand (multi-picking)
Helps to reduce mounting cost and robot vibration
1,130 mm working range
Up to 8 kg max. payload
IP65 protection class",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/a923a12dfb8f7454669afcb8ea5e49c3802af7941566ba516677f2a980969ca8.jpg,,,,,,,,,,,,,,,,,,,,,,
X-Delta 2+1,Parallel Robots,,"Robot control integrated in the NJ robotics controller
Control of up to 8 robots by one controller
Degrees of freedom: 2 + 1 (rotational axis optional) 
Up to 200 cycle per minute
Models from 800 to 1,500 mm working range
Payload range: 3 to 35 kg
TWIN model for applications that a long gripper is required
IP65 protection class
ISO mount gripper interface
Low maintenance, easy access to components",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/6629c376cc5d3325c05b5a445aae5de09072d154c041c31042c5006e5221e4c0.png,,,,,,,,,,,,,,,,,,,,,,
iX3,Parallel Robots,,"We have taken efficiency to the next level with the iX3 parallel robot. This powerful robot supports integrated high-speed conveyor tracking, powerful vision guidance, and easy-to-use application software created specifically for the packaging market. Main features: EtherCAT connectivity to the Omron NJ501-R controller and programming through the familiar IEC 61131-3 programming language or scripting (ev+). 
Tracks up to a conveyor speed of 1.4 m/s 
Designed with a high payload to support multi-hand (multi-picking) 
Supports fast Pick & Place on a fast conveyor 
Helps reduce mounting cost and robot vibration 
Maximum working diameter 1,130 mm 
Working height 425 mm 
Maximum payload 8 kg 
Weight 52 kg",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/947f301b187166a386f25ab24f5157fe7b85dcc8116e44e61de3817a5a3c2066.jpg,,,,,,,,,,,,,,,,,,,,,,
iX4,Parallel Robots,,"The iX4 is the industry-leading robot when it comes to speed and precision while, boasting a payload capacity of 15kg. It is the only parallel robot in the world with our patented four-arm rotational platform delivering maximum speed, maximum acceleration and exceptional performance across the workplace. Main features: EtherCAT connectivity to the Omron NJ501-R controller and programming through the familiar IEC 61131-3 programming language or scripting (ev+). 
Four-axis arm evenly distributes the load on the robot 
Fast and high-precision conveyance and assembly 
Designed with a high payload to support multi-hand (multi-picking) 
Supports fast Pick & Place on a fast conveyor 
Meets the sanitary standards of the United States Department of Agriculture for prevention of product contamination 
Maximum working diameter 1,300 mm 
Working height 500 mm 
Maximum payload 15 kg 
Weight 117 kg",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/34594556c7690cb839696503416d01308e16439545eb2f7c75bf3e1b821a6bed.jpg,,,,,,,,,,,,,,,,,,,,,,
Robot accessories,,,,,,,,,,,,,,,,,,,,,,,,,,
Fleet Manager,Autonomous Mobile Robot,,"Manage fleets up to 100 robots in any configuration
Displays robot location, status and job queue
Prioritizes important jobs
Selects fastest routes based on human and robot traffic
Identifies blocked paths and creates alternative routes
Optimizes job assignments and battery charging",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/3f784974c09eeda8914012daa611201798d335be57049bf6aff23d2f5715c0e4.jpg,,,,,,,,,,,,,,,,,,,,,,
LD-60/90,Autonomous Mobile Robot,,"No need to pre-program path
Self-mapping with on-board PC
Rapid installation
Mobile robot ESD version for electronic parts transportation
Easy interaction on tablet by using the updated Mobile Planner",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/d42fe5fb3de1f55cfff8d2bbfe7485807f97993080012dee0f26dccf5b8ce3bc.jpg,,,,,,,,,,,,,,,,,,,,,,
LD-250,Autonomous Mobile Robot,,"No need to pre-program path
Self-mapping with on-board PC
Rapid installation
Easy interaction on tablet by using the updated Mobile Planner",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/99d89245141b4b9153337db01c1504319f4e47ff346a3eed715f55cd4711dfee.jpg,,,,,,,,,,,,,,,,,,,,,,
HD-1500,Autonomous Mobile Robot,,"1,500 kg payload capacity
Based on the same proven technology used in our LD series
360° Safety coverage with LiDAR technology
Battery charges in 36 minutes to realize greater efficiency and less downtime
Sturdier metal skins withstand heavier impacts and more demanding tasks",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/c971d28f9f781ed385e6daacbe2c7f0644f31d2eeb3e3e1386b13d65bc04a29f.jpg,,,,,,,,,,,,,,,,,,,,,,
Robotics Integrated Controller,,,,,,,,,,,,,,,,,,,,,,,,,,
E3Z,Compact square Photoelectric Sensors,,"Minimal optical axis deviation for easy alignment
IP67 and IP69K for highest water resistance
Intensive shielding for highest noise immunity (EMC)
Multiple molding housing for high mechanical resistance",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/c58baef16902b82e9d29775e7daef7fb84dd0fc054bec0c2663ecfd26643debc.jpg,,,,,,,,,,,,,,,,,,,,,,
E3ZM-C,Compact square Photoelectric Sensors,,"Oil-resistant stainless steel housing
IP67 and IP69K for maximum water resistance
High visibility orange LED in through beam model for easy alignment",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/1b4f91357f0405a67b11637b4fc040d5bc2cfa443b0d6c7c1134ba786b6df026.jpg,,,,,,,,,,,,,,,,,,,,,,
E3ZR-C,Compact square Photoelectric Sensors,,"Sealing methods that prevent gaps at joints block the ingress of cutting oil
Fluororesin cables that strongly resist cutting oil
IP67G Oil-resistant
Rugged stainless steel compact housing",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/3f9c6c87fa21c74306d866c5d8c06e47ba8c60f5a4c4f4409e9730ff650c8857.jpg,,,,,,,,,,,,,,,,,,,,,,
E3ZM,Compact square Photoelectric Sensors,,"High grade stainless steel housing (SUS316L)
IP67 and IP69k for highest water resistance
Ecolab tested and certified detergent resistance",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/579c007b1e2f1fd3beac07fd7c5489c230097c81c8d902bd8892ed2cb0f83d18.jpg,,,,,,,,,,,,,,,,,,,,,,
E3ZM-B,Compact square Photoelectric Sensors,,"Stable PET detection using double refraction and AC³ power control technology
Detergent resistant compact SUS316L housing",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/957e340f777e2466c9efe629a0d91824317b1d4bd1c860e9abf8b8bf5cb145cc.jpg,,,,,,,,,,,,,,,,,,,,,,
E3Z Laser,Compact square Photoelectric Sensors,,"Visible LASER light for precision positioning and small object detection
High power LED for long range precision
Class 1 LASER
Precise background suppression and low black/white error for accurate detection",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/57fe9ec1807b40c6edb64429c7e4ac534da3a82880e269fa2b462052fe11b22c.jpg,,,,,,,,,,,,,,,,,,,,,,
E3Z-B,Compact square Photoelectric Sensors,,"Detects a wide range of bottles from single bottles to sets of stocked bottles
IP67/IP69K tested for highest water resistance",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/a4d2ff293046d9e12e9aaa81b98bb54875acba1621bbb2fd6a9f0fabab6b787d.jpg,,,,,,,,,,,,,,,,,,,,,,
E3S-CL,Compact square Photoelectric Sensors,,"Minimal black/white error for highest reliability detecting differently coloured objects (E3S-CL1)
Setting distance up to 500 mm with reliable background suppression",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/2e6a4bdc3a7def5c03eb977a4ee30c6485b244bfe25a3c6cf32d17b200ea2f7b.jpg,,,,,,,,,,,,,,,,,,,,,,
E3S-DB,Compact square Photoelectric Sensors,,"Most reliable detection of all transparent objects
Smart Teach enabling fast set up and optimum threshold setting
Narrow beam types detecting smallest gaps
Proven for environments in Food & Beverage industry",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/cc289841671f57544d500beb42af9479adc9bf74134dbc64d93296021cd3d5c9.jpg,,,,,,,,,,,,,,,,,,,,,,
E3S-LS3,Compact square Photoelectric Sensors,,"Wide beam for reliable detection of structured, shiny and irregularly shaped objects",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/2e4b1c3039132d361d7f120bb4c40e97340b60b12a1006cc7263cb8de072c696.jpg,,,,,,,,,,,,,,,,,,,,,,
E3Z-G,Compact square Photoelectric Sensors,"Fork shape for simple installation
1 or 2 axis models","Fork shape for simple installation
1 or 2 axis models",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/a460002354e0ee3963fb10850757b07f52f56353a740d7de8abd83543ce31f2a.jpg,,,,,,,,,,,,,,,,,,,,,,
E3AS,Compact square Photoelectric Sensors,,"Wide range of solution up to 1,5m.
High reliable detection for shiny, uneven & transparent objects.
Spot beam and Line beam to detect any challenging object.
Transparent detection objects without reflector.
OLED display for easy navigation & advance adjustments.
Compact-sized body can be mounted anywhere.
Manufactured using OMRON's proprietary laser sealing method.
IP67/IP69K/IP67G.
Antifouling coatings reduce the cleaning frequency on the sensing surface.
IO-Link reduces the time required for start-ups and changeovers.
Air blow accessory for easy maintenance.
Equipped with OMRON's proprietary light emitting element for stable detection of low-reflective. workpieces.",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/cf660976bec49cab129f15589074a21fc2dc4db22b96b249d5844ed70855eeaa.jpg,,,,,,,,,,,,,,,,,,,,,,
E3F_-B/-V,Cylindrical,,"Easy adjustment to individual requirements for all transparent materials
P-opaquing technology enables reliable detection of PET bottles also in dusty environments
Coaxial optics (E3F[..]-B_1) for stable, position-independent detection",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/323656920010a40ec6315625c8f8c47df439fadec70b641e3cc8c3524f8eadfd.jpg,,,,,,,,,,,,,,,,,,,,,,
E3FA/E3FB,Cylindrical,,"Large variety of standard and special types
High power and visible red LED enabling easy alignment and long sensing distance
Compact and robust housing for easy integration into machines",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/89bf2f6963a8295081b92a47030517b6cd5842fffe6c7326df0ab5dba0174612.jpg,,,,,,,,,,,,,,,,,,,,,,
E3FC,Cylindrical,,"High grade steel housing (SUS316L)
Proven with various industrial detergents of Ecolab and Diversey
Withstands heat shock conditions
Epoxy resin at connector/cable end preventing water ingress
Bright visible red LED enabling easy alignment",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/312e6c3e2a79d3b30a57c8c92db418b5dc8e5acfa561ef4a37942769d6ceca9f.jpg,,,,,,,,,,,,,,,,,,,,,,
E3T-C,Cylindrical,,"axial and radial M5 sized through-beam sensors 
 axial M6 sized diffuse-reflective sensors 
 pre-wired models in stainless steel housing",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/650df8f15bd2881e2388ac7640b4203f3803aa32ccb0c47a239c4c74058df9ed.jpg,,,,,,,,,,,,,,,,,,,,,,
E3JK,Square type,,"High power and visible red LED for all models enabling easy alignment and long sensing distance
Bright indicator LEDs that are visible even at a large distance
Best price-value ratio
Available models with red LED and infrared LED",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/bbf62775f7b35eb16588895b7db72afb211a759626d56d07080350c622e0c143.jpg,,,,,,,,,,,,,,,,,,,,,,
E3JM,Square type,,"12 to 240 VDC and 24 to 240 VAC supply voltage
Relay or solid state relay output
Timer function",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/b2d3f895c88a0fecd4a0923835d8bad7514e1b0f3b31238db8be2a9898c76598.jpg,,,,,,,,,,,,,,,,,,,,,,
E3NC,Separated amplifier,,"High detection stability independent from color or surface structure
Lens attachments for line beam applications
Easy installation due to adjustable focus and smart tune functions
Sensor heads with up to 1.2 m sensing distance covering a wide range of applications
High speed network connectivity to EtherCat fieldbus",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/7b04059ae98a98fd21a724c7ef05045101a1b7f1c3b1ca1b27abbad9e5037dcc.jpg,,,,,,,,,,,,,,,,,,,,,,
E3C-LDA,Separated amplifier,,"Easy installation due to adjustable focus point and optical axis
Wide range sensor head portfolio with different laser beam shapes
Controller functions with easy wiring concept and power tuning function",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/e0743830c306a5ac4205559872510538848ce371d4072c04b70edaec2644034d.jpg,,,,,,,,,,,,,,,,,,,,,,
E3T,Miniature and photomicro,,"Small size with precision pinpoint LED where space is crucial
3.5mm flat model with reliable background suppression and small black/white error
Unique optical alignment technology ensuring minimal deviation of optical axis
High EMC and ambient light immunity",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/6a4217c8dba92ecc9d2c697281cf5e82869b903cf2f6c74aea6c6e52bdb1cc39.jpg,,,,,,,,,,,,,,,,,,,,,,
EE-SX47/67,Miniature and photomicro,,"Response frequency up to 1 kHz
Wide operating voltage range: 5 to 24 VDC",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/ec958270fa120e8f1a92619a8251288c03cc08fcd348df8433bff42da1ab0553.jpg,,,,,,,,,,,,,,,,,,,,,,
EE-SX95,Miniature and photomicro,,"Mounting with M3 or M2 screws
Bright indicator LEDs for high visibility from many directions.
Antivalent output (L-ON/D-ON)
Load short-circuit protection circuit",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/657481f01e37b05ec48fa9348a2e6c2554fb6384b6cd4acbd380f5f99271412f.jpg,,,,,,,,,,,,,,,,,,,,,,
EE-SX97,Miniature and photomicro,,"Response frequency up to 1 kHz 
 Space saving housing and connector integration",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/143405d8ec510b01ff9d1105fb65a219c0793d780de39e38d48dcc1c367ecc49.jpg,,,,,,,,,,,,,,,,,,,,,,
EE-SX77/87,Miniature and photomicro,,"Compact, thin profile enables mounting where space is crucial
Indicator is visible from both sides
Operating voltage range: 5 to 24 VDC",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/447046e9a10613abff5a92388b058549cc063233c96f83ad770a264b9a13af6f.jpg,,,,,,,,,,,,,,,,,,,,,,
EE-SPX_03,Miniature and photomicro,"13mm slot width
12 to 24 VDC supply voltage","13mm slot width
12 to 24 VDC supply voltage",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/9629ff37a3024624f0d4b4f89de1922ff7cc8225e324843cc418778cffcfed69.jpg,,,,,,,,,,,,,,,,,,,,,,
Photoelectric sensor accessories,Photoelectric accessories,,,https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/b20199484299c3687dd8f8c0453eed068c27cfd1729558858d3cbd4ac9044036.jpg,,,,,,,,,,,,,,,,,,,,,,
E3S-DC,Mark and Colour Sensors,,"Capability to distinguish slight color differences
Fast response time of 50 μs
Bank switching up to 9 memories
RGB data transmission function
Easy configuration by teach button or IO-link
IO-link V1.1 communication and functionalities",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/7665600c205debf419d983860babd4fedc18dda18e028314010497088cce48b5.jpg,,,,,,,,,,,,,,,,,,,,,,
E3NX-CA,Mark and Colour Sensors,,"Capability to distinguish slight color differences
Response speed of 50 μs using contrast mode
Bank switching up to 8 memories
RGB data transmission function
Easy teaching by Smart Tuning within a few seconds
EtherCAT communication unit for high-speed fieldbus connectivity",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/6ac10e1c31a4b8bc740a89d1b9a3e6a208604b8f00dee5aa76b545e138d98b54.jpg,,,,,,,,,,,,,,,,,,,,,,
E3ZM-V,Mark and Colour Sensors,,"White LED for stable detection of differently coloured or black print marks
SUS 316L stainless steel housing
Easy-to-use teach-in button
Fast response time of 50μs",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/318fe41c4f9d9311f0c851108b281abd0d448b88e8f6b9fe11cc315f2903d81b.jpg,,,,,,,,,,,,,,,,,,,,,,
F3EM2,Non-Safety Light Curtains and Area Sensors,,"Robust aluminium housing
Analogue output for simple height detections
Serial output with single beam evaluation for profile measurement
Various output modes to adapt output data to the given application",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/8016800b4437de907ce7f4a4fbcb825793df603328e81ccb08d3220ac8c74bb6.jpg,,,,,,,,,,,,,,,,,,,,,,
F3ET2,Non-Safety Light Curtains and Area Sensors,,"Optical synchronisation for reliable operation without additional wiring
Robust aluminium housing
NPN/PNP and light on/dark on selectable",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/c7ef9842ec9e1ea9715338832c307d5ec357f23798e0797dac05d7676ca2a0f5.jpg,,,,,,,,,,,,,,,,,,,,,,
E32 Area monitoring,Non-Safety Light Curtains and Area Sensors,,"Area monitoring up to 70 mm height
Multi-beam sensor with 4 seperate heads for flexible detection points
Standard or high flex fibers",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/1e9c2388dc4c2b6e5c584cddbe1fac9de079a4c1e1b0619702e4b294b805b0bc.jpg,,,,,,,,,,,,,,,,,,,,,,
E32 Standard cylindrical,Fiber sensor heads,,"High-flex fibers and 90° cable exit for cable breakage prevention
Models with hexagonal back for simplified one-nut mounting
Sizes M3 to M6",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/db304240211328eed804945d5c5a4f3c4628d96bf6e06db865895ceb05fad51d.jpg,,,,,,,,,,,,,,,,,,,,,,
E32 Square shape,Fiber sensor heads,,"Models with sensing direction in X, Y or Z axis
3 or 4mm thick housings for minimal height requirement
Standard or high-flex fibers",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/2c6cfe34d221fdcc397836749295e60d3f1619e64c6784902443775bce05b4e1.jpg,,,,,,,,,,,,,,,,,,,,,,
E32 Miniature,Fiber sensor heads,,"Sizes from dia 500 μm to 3 mm
Side view models with precision axis alignment for highest accuracy
Bendable sleeves for precision positioning",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/2e529827dc37af6dd1dda5244d11c3298504c23adb944bfeebcb24d1d4be23d0.jpg,,,,,,,,,,,,,,,,,,,,,,
E32 Longer distance,Fiber sensor heads,,"Sensing distance up to 20 m
Built-in focal lens
Sizes from dia 2mm to M14",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/cfe04ed3d49bac1ab9eadda89b39d6028d7f36c6c9ff35d311ddf388cf880b6b.jpg,,,,,,,,,,,,,,,,,,,,,,
E32 Chemical resistant,Fiber sensor heads,,"Fluoroplastic cover for highest chemical resistance
Temperature resistance up to 200°C",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/8bdc98300010a95b40f6fa2afb4a102d9684d301634e3d46fb8a12e79d6b531c.jpg,,,,,,,,,,,,,,,,,,,,,,
E32 Heat resistant,Fiber sensor heads,,"Heat resistant up to 400°C
Sizes from dia 2 mm to M6
Models for long distances or high detection accuracy",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/fe7ab877181e7ad966b9a0dcbd67f7bcc29beece46888155aee0dc7f9612ac2c.jpg,,,,,,,,,,,,,,,,,,,,,,
E32 Vacuum resistant,Fiber sensor heads,,"Leakage rate of 1x10-10 Pa*m3/s max
Heat resistance up to 200°C
Detergent resistant fluororesin or stainless steel fiber sheath",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/549ac2aa2ad92412c18ca080c7cb9364f268618e22cdb20e0cc54d2b784fe034.jpg,,,,,,,,,,,,,,,,,,,,,,
E32 Robot application,Fiber sensor heads,,"Free moving multicore fibers for 1 mio bending cycles
Square shapes for easy surface installation
Cylindrical sizes from dia 1.5 mm to M6",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/f515c85a616e3f56c6869fe42aa4006b14644ab54f461adc25cbe04e4f09f531.jpg,,,,,,,,,,,,,,,,,,,,,,
E32 Precision detection,Fiber sensor heads,,"Coaxial fibers with focal lenses for spot diameters of 100 μm
Through-beam models with highly focused beam and precise optical axis alignment
Limited reflective models for height difference detection of less than 100 μm",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/b717e89410482c8341e5a04a160f70208538f7552d6874e148046c62e2ed012e.jpg,,,,,,,,,,,,,,,,,,,,,,
E32 Special application,Fiber sensor heads,,"Detection of special objects (liquids, transparent foils, etc.)
Fiber heads ideal for colour mark detection
Fiber heads optimised for special tasks (wafer mapping, hot reflective surface detection, etc.)",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/9e7dc5ceba407d382e6a23050f6af73746e8793d5f9c27e462a05072d6290953.jpg,,,,,,,,,,,,,,,,,,,,,,
E3X-HD,Fiber amplifiers,,"Easy teaching by Smart tuning within a few seconds
Dynamic Power Control (DPC) for highest operational stability for changing environmental conditions or challenging objects
M8 connector models
EtherCAT and CompoNet Communication units for high-speed field bus connectivity",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/793dd6df20d2de0d8f117a60f59ac125eb2434197e3bda032264f95f086a65ff.jpg,,,,,,,,,,,,,,,,,,,,,,
E3X-SD,Fiber amplifiers,,"Auto-teaching during machine operation
2-point teaching within a few seconds
Simple threshold adjustment with up/down keys",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/3587744c6cf327d12e20ef8139b9b106a840fd0e7188a0e6631f663233c4ad0d.jpg,,,,,,,,,,,,,,,,,,,,,,
E3X-NA,Fiber amplifiers,,"Easy adjustment with potentiometer
Mutual interference prevention
Enhanced water resistance types",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/80a577dc923e6866e3758b013504163656647ef75d1c9cf8aba4223cd267f255.jpg,,,,,,,,,,,,,,,,,,,,,,
E3NX-FA,Fiber amplifiers,,"Easy teaching by Smart tuning within a few seconds
New N-Smart technology provides significant improvement for sensing distance, minimum object detection and speed
Easy and transparent information about sensor status by Solution Viewer and Change Finder function
EtherCAT Communication unit for high-speed field bus connectivity",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/daae4805cd55b87cfa0547d47ba408d5ebf0fb364180c7b43182ecdd3d47e6b1.jpg,,,,,,,,,,,,,,,,,,,,,,
E3X-MDA,Fiber amplifiers,,"Two digital amplifiers in one slimline housing
Twin output models – on/off or area (between two threshold values)
Signal comparison functions (AND, OR, etc.)",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/164b3fa330781d3db6bccd025db4d9dfe3da581e011c4d21b2edc258494a6ad2.jpg,,,,,,,,,,,,,,,,,,,,,,
E3NX-MA,Fiber amplifiers,,"The new 2 channel fiber amplifier unit has two-unit functions in the dimensions of the general one-unit, contributing to downsizing your equipment and control panels.
Performance with highly stable detection and even two channels. From transparent objects to low-reflective workpieces.
Easy to set the light intensity and threshold automatically.
Wire-saving Connector models that reduce wiring work.",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/f851c96ea1993ef1ad76892345bd0542f419e9bf381596055a1415687aedb228.jpg,,,,,,,,,,,,,,,,,,,,,,
Fiber optic sensor accessories,Fiber optic accessories,,,https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/818f5207fbc03da50cd5a88e1c8bdda041bb60cf924a5abe109fc7f386cc20d9.jpg,,,,,,,,,,,,,,,,,,,,,,
E2A,Compact - cylindrical,,"Extended (double) sensing distance
IP67 and IP69k for highest water protection
DC 3-wire (NO, NC), DC 4-wire (NO+NC)
Wide installation and connectivity range through modular concept",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/aaad2cda1312924db0a4f600c05f3c6bbb035444d69dbbbfce67101929924313.jpg,,,,,,,,,,,,,,,,,,,,,,
E2A-S,Compact - cylindrical,Stainless steel housing (SUS 303),Stainless steel housing (SUS 303),https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/c7781c0db3c5bc28e6947209a06a65e54e9192a529f1cf026d6d1e0c64cc75fa.jpg,,,,,,,,,,,,,,,,,,,,,,
E2B,Compact - cylindrical,,"All-round-visible indicator
The laser printed part number
Vibration shock resistance:  IEC 60947-5-2 (10 - 55 Hz)
Operating temperature: -25°C to 70°C
Water resistance: IP67",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/2177d33d1f902a24e65891909fd37d5369df323a4bc4102ce82ce4109f89f29f.jpg,,,,,,,,,,,,,,,,,,,,,,
µPROX E2E,Compact - cylindrical,,"Miniature size: 3, 4, 6.5 mm and M4, M5 diameters
High frequency of 5 kHz: suitable for high-speed counting
All sizes are also available as non-shielded types
IP67 water ingress protection
Highly visible indicators for easy operation confirmation",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/a66410b2ffac7a1cec02b0eaa61afb34350f5efcdbfc9013c684678955d0dfbe.jpg,,,,,,,,,,,,,,,,,,,,,,
E2A3,Compact - cylindrical,,"Triple distance for enhanced sensor protection from mechanical damage
IP67 and IP69k",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/1e43dbdf2b16ac9f9e2ddae68772ced9f0b10758cd297886f75ed2fff0b5db6a.jpg,,,,,,,,,,,,,,,,,,,,,,
E2EC,Compact - cylindrical,,"3 mm diameter sensing head for smallest spaces
18 mm long ultra short M12 size housing
Full metal housing model for highest resistance in demanding environments",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/bd2e672a4331071c7c718c66e2f67bd98773135dd61ab6a0cd1030dad0c7b410.jpg,,,,,,,,,,,,,,,,,,,,,,
E2V-X,Compact - cylindrical,,"Highly visible indicator
DC 3-wire proximity sensors: M12, M18, M30
Standard and Long-distance detection in pre-wired or connector models
Nickel-plated brass housing",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/30a060befd6e0454b89ce5bce7021f5d20cd8ff447efddb655d19fbfb756ae68.jpg,,,,,,,,,,,,,,,,,,,,,,
E2EQ NEXT,Compact - cylindrical,,"With spatter-resistant coating for application in welding areas
Nearly double the sensing distance of previous
With high-brightness LED, the indicator is visible anywhere from 360°.
Only 10 Seconds to Replace a Proximity Sensor with the ""e-jig"" (Mounting Sleeve).
Cables with enhanced oil resistance.",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/cf6c9e668f964aa2a6af52f04b0e53bfd1986de9c6a16ee2486609700adb8723.jpg,,,,,,,,,,,,,,,,,,,,,,
E2E NEXT,Compact - cylindrical,,"The world's longest sensing distance
With high-brightness LED, the indicator is visible anywhere from 360°.
Only 10 Seconds to Replace a Proximity Sensor with the ""e-jig"" (Mounting Sleeve).
Cables with enhanced oil resistance enabled 2-year oil resistance
IP69K compliant for water resistance and wash resistance
Comes in a wide variation to make sensor selection easy
UL and CSA certification",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/0251fb88e22cae05ddfa32696e6903297f804ddfac7ed4049430564271a33a07.jpg,,,,,,,,,,,,,,,,,,,,,,
E2EH,Special models,,"Temperature resistant up to 120°C
SUS316L housing with heat resistant plastic sensing face
IP69k for highest water resistance
ECOLAB tested and certified detergent resistance",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/4967684b88700cdc24a01d5186e86e9d35865231636d523ddace5a3289cb445b.jpg,,,,,,,,,,,,,,,,,,,,,,
E2FQ,Special models,,"Full body fluoro plastic housing for chemical resistance
DC 2-wire and DC 3-wire models",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/90008a75e35f4627680a4251abb5c35fb6719271fa75f4428beddd48212cb9a1.jpg,,,,,,,,,,,,,,,,,,,,,,
E2FM,Special models,,"Full body stainless steel housing for highest mechanical protection
Low frequency modulation for metal chip immunity
Flame retardant cable for high protection against welding spatter damage (pigtail models)",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/2430975d0d725f7e2718601a3f6037f8793ec4028cd79f5efd622c6b24b169ff.jpg,,,,,,,,,,,,,,,,,,,,,,
